Day,Month,Year,male_births,female_births,total_births,male_deaths,female_deaths,total_deaths
1,1,2010,70,68,138,48,29,77
2,1,2010,56,66,122,68,26,94
3,1,2010,62,50,112,43,27,70
4,1,2010,83,76,159,42,31,73
5,1,2010,73,77,150,38,35,73
6,1,2010,65,59,124,48,49,97
7,1,2010,93,73,166,44,19,63
8,1,2010,62,80,142,36,27,63
9,1,2010,74,41,115,51,39,90
10,1,2010,51,38,89,44,33,77
11,1,2010,80,80,160,63,30,93
12,1,2010,82,75,157,46,33,79
13,1,2010,50,66,116,35,16,51
14,1,2010,70,57,127,36,30,66
15,1,2010,51,49,100,39,33,72
16,1,2010,59,56,115,40,23,63
17,1,2010,70,53,123,62,34,96
18,1,2010,63,46,109,44,35,79
19,1,2010,83,78,161,44,21,65
20,1,2010,67,59,126,30,29,59
21,1,2010,67,64,131,32,37,69
22,1,2010,72,57,129,42,30,72
23,1,2010,71,57,128,45,30,75
24,1,2010,53,57,110,36,25,61
25,1,2010,78,58,136,34,29,63
26,1,2010,70,73,143,49,20,69
27,1,2010,63,59,122,51,43,94
28,1,2010,92,56,148,38,32,70
29,1,2010,73,57,130,37,36,73
30,1,2010,60,54,114,38,22,60
31,1,2010,51,43,94,42,31,73
1,2,2010,64,68,132,40,24,64
2,2,2010,101,68,169,40,22,62
3,2,2010,62,53,115,38,29,67
4,2,2010,69,65,134,43,30,73
5,2,2010,92,74,166,41,34,75
6,2,2010,63,61,124,38,30,68
7,2,2010,53,41,94,45,33,78
8,2,2010,46,51,97,40,27,67
9,2,2010,72,59,131,38,23,61
10,2,2010,82,78,160,45,36,81
11,2,2010,74,60,134,40,27,67
12,2,2010,81,94,175,36,33,69
13,2,2010,64,44,108,52,34,86
14,2,2010,56,57,113,37,32,69
15,2,2010,67,68,135,45,34,79
16,2,2010,86,71,157,52,33,85
17,2,2010,70,59,129,49,31,80
18,2,2010,72,57,129,46,33,79
19,2,2010,80,71,151,44,33,77
20,2,2010,69,53,122,40,30,70
21,2,2010,52,41,93,42,24,66
22,2,2010,63,74,137,45,27,72
23,2,2010,75,67,142,47,25,72
24,2,2010,51,67,118,39,25,64
25,2,2010,68,56,124,35,18,53
26,2,2010,87,85,172,33,30,63
27,2,2010,54,56,110,46,28,74
28,2,2010,52,39,91,36,27,63
1,3,2010,62,54,116,34,28,62
2,3,2010,89,92,181,48,34,82
3,3,2010,83,87,170,33,22,55
4,3,2010,103,65,168,23,18,41
5,3,2010,97,79,176,38,37,75
6,3,2010,64,68,132,40,31,71
7,3,2010,47,65,112,38,33,71
8,3,2010,70,59,129,39,23,62
9,3,2010,89,68,157,44,32,76
10,3,2010,93,92,185,39,21,60
11,3,2010,92,61,153,31,34,65
12,3,2010,56,78,134,29,25,54
13,3,2010,78,65,143,38,18,56
14,3,2010,48,56,104,23,28,51
15,3,2010,64,54,118,46,28,74
16,3,2010,95,73,168,34,25,59
17,3,2010,78,72,150,40,27,67
18,3,2010,88,83,171,28,37,65
19,3,2010,101,67,168,31,29,60
20,3,2010,76,74,150,36,26,62
21,3,2010,68,49,117,54,36,90
22,3,2010,86,72,158,52,22,74
23,3,2010,73,75,148,33,26,59
24,3,2010,96,113,209,50,26,76
25,3,2010,69,72,141,51,37,88
26,3,2010,92,56,148,28,30,58
27,3,2010,60,53,113,32,29,61
28,3,2010,52,53,105,34,28,62
29,3,2010,74,74,148,36,26,62
30,3,2010,80,70,150,27,35,62
31,3,2010,79,56,135,34,28,62
1,4,2010,80,58,138,47,30,77
2,4,2010,75,83,158,32,22,54
3,4,2010,74,62,136,44,12,56
4,4,2010,56,41,97,39,28,67
5,4,2010,95,80,175,27,36,63
6,4,2010,85,68,153,44,29,73
7,4,2010,66,63,129,41,20,61
8,4,2010,95,76,171,40,36,76
9,4,2010,67,61,128,35,37,72
10,4,2010,82,47,129,46,36,82
11,4,2010,64,48,112,33,22,55
12,4,2010,76,69,145,44,25,69
13,4,2010,82,77,159,46,31,77
14,4,2010,64,46,110,43,35,78
15,4,2010,78,66,144,59,34,93
16,4,2010,80,64,144,49,44,93
17,4,2010,82,59,141,34,30,64
18,4,2010,57,34,91,42,32,74
19,4,2010,67,59,126,41,44,85
20,4,2010,88,66,154,39,27,66
21,4,2010,78,58,136,31,28,59
22,4,2010,85,70,155,35,32,67
23,4,2010,77,70,147,46,36,82
24,4,2010,64,40,104,51,21,72
25,4,2010,65,44,109,46,18,64
26,4,2010,61,56,117,47,40,87
27,4,2010,69,60,129,43,25,68
28,4,2010,80,62,142,60,33,93
