Month,Year,male_births,female_births,total_births,male_deaths,female_deaths,total_deaths
1,2010,2114,1882,3996,1345,934,2279
2,2010,1925,1737,3662,1172,812,1984
3,2010,2402,2155,4557,1143,879,2022
4,2010,2244,1809,4053,1274,896,2170
5,2010,2102,1837,3939,1215,811,2026
6,2010,1971,1717,3688,1227,781,2008
7,2010,2134,1891,4025,1376,921,2297
8,2010,2312,2064,4376,1510,1006,2516
9,2010,2507,2235,4742,1461,986,2447
10,2010,2718,2375,5093,1313,899,2212
11,2010,2423,2163,4586,1285,903,2188
12,2010,2279,2100,4379,1598,1041,2639
1,2011,2109,1829,3938,1564,1156,2720
2,2011,1937,1736,3673,1198,818,2016
3,2011,2543,2140,4683,1302,882,2184
4,2011,2250,2002,4252,1201,871,2072
5,2011,2213,1956,4169,1174,858,2032
6,2011,2127,1856,3983,1197,880,2077
7,2011,2209,1939,4148,1410,1022,2432
8,2011,2301,2063,4364,1438,986,2424
9,2011,2557,2235,4792,1420,939,2359
10,2011,2814,2446,5260,1347,904,2251
11,2011,2675,2541,5216,1349,890,2239
12,2011,2493,2351,4844,1413,973,2386
1,2012,2322,2242,4564,1549,1081,2630
2,2012,2335,2214,4549,1299,967,2266
3,2012,2620,2363,4983,1342,1020,2362
4,2012,2391,2276,4667,1327,879,2206
5,2012,2449,2265,4714,1229,881,2110
6,2012,2189,2079,4268,1185,806,1991
7,2012,2300,2184,4484,1230,864,2094
8,2012,2566,2354,4920,1445,958,2403
9,2012,2620,2405,5025,1417,988,2405
10,2012,2667,2490,5157,1327,970,2297
11,2012,2571,2408,4979,1270,958,2228
12,2012,2493,2332,4825,1370,960,2330
1,2013,2499,2229,4728,1462,999,2461
2,2013,2390,2143,4533,1265,858,2123
3,2013,2758,2555,5313,1398,1026,2424
4,2013,2413,2414,4827,1311,980,2291
5,2013,2518,2304,4822,1215,881,2096
6,2013,2238,2035,4273,1139,802,1941
7,2013,2308,2208,4516,1392,923,2315
8,2013,2518,2425,4943,1483,992,2475
9,2013,2650,2374,5024,1289,962,2251
10,2013,2910,2730,5640,1353,939,2292
11,2013,2547,2459,5006,1316,908,2224
12,2013,2430,2346,4776,1512,1068,2580
1,2014,2367,2218,4585,1464,967,2431
2,2014,2115,2026,4141,1265,905,2170
3,2014,2525,2331,4856,1399,920,2319
4,2014,2282,2243,4525,1295,919,2214
5,2014,2248,2215,4463,1321,901,2222
6,2014,2164,1913,4077,1258,820,2078
7,2014,2266,2175,4441,1340,945,2285
8,2014,2467,2194,4661,1539,992,2531
9,2014,2449,2266,4715,1538,1106,2644
10,2014,2632,2461,5093,1400,1009,2409
11,2014,2453,2278,4731,1390,915,2305
12,2014,2285,2191,4476,1554,1082,2636
1,2015,2314,2122,4436,1599,1125,2724
2,2015,2153,1858,4011,1330,954,2284
3,2015,2436,2251,4687,1466,1004,2470
4,2015,2364,2104,4468,1291,911,2202
5,2015,2156,2129,4285,1275,941,2216
6,2015,2138,1898,4036,1171,869,2040
7,2015,2236,2106,4342,1285,903,2188
8,2015,2467,2347,4814,1440,940,2380
9,2015,2559,2517,5076,1453,1003,2456
10,2015,2783,2548,5331,1469,1039,2508
11,2015,2505,2333,4838,1515,1034,2549
12,2015,2438,2223,4661,1536,1016,2552
1,2016,2349,2110,4459,1639,1143,2782
2,2016,2249,2081,4330,1428,1028,2456
3,2016,2507,2322,4829,1437,933,2370
4,2016,2470,2326,4796,1342,950,2292
5,2016,2318,2199,4517,1393,968,2361
6,2016,2184,2070,4254,1270,808,2078
7,2016,2241,2000,4241,1695,1129,2824
8,2016,2426,2322,4748,1869,1348,3217
9,2016,2431,2318,4749,1732,1119,2851
10,2016,2717,2596,5313,1660,1171,2831
11,2016,2484,2360,4844,1552,1076,2628
12,2016,2399,2150,4549,1605,1079,2684
1,2017,2286,2107,4393,1630,1169,2799
2,2017,2189,1877,4066,1317,904,2221
3,2017,2449,2195,4644,1488,1086,2574
4,2017,2251,2096,4347,1415,1014,2429
5,2017,2297,2129,4426,1311,1015,2326
6,2017,2118,2018,4136,1309,861,2170
7,2017,2360,2109,4469,678,499,1177
8,2017,2466,2481,4947,1176,914,2090
9,2017,2700,2479,5179,1560,1068,2628
10,2017,2753,2655,5408,1634,1188,2822
11,2017,2668,2489,5157,1585,1089,2674
12,2017,2465,2346,4811,1615,1134,2749
1,2018,2331,2178,4509,1696,1189,2885
2,2018,2163,1979,4142,1485,1099,2584
3,2018,2496,2317,4813,1510,1073,2583
4,2018,2176,2016,4192,1335,946,2281
